country,sector,sub_sector,activity,persons_employed_2009,persons_employed_2018,persons_employed_delta_2018_09,turnover_2009,turnover_2018,turnover_delta_2018_09,value_added_at_factor_cost_2009,value_added_at_factor_cost_2018,value_added_at_factor_cost_delta_2018_09,gva_to_turnover_2009,gva_to_turnover_2018,gva_to_turnover_delta_2018_09,gross_operating_surplus_2009,gross_operating_surplus_2018,gross_operating_surplus_delta_2018_09,gross_profit_margin_2009,gross_profit_margin_2018,gross_profit_margin_delta_2018_09,personnel_costs_per_employee_2009,personnel_costs_per_employee_2018,personnel_costs_per_employee_delta_2018_09
Lithuania,Maritime transport,Services for transport,Renting and leasing of water transport equipment,32,117,2.66,2.2,83,36.73,0.5,4.7,8.4,0.23,0.06,-0.75,0.4,2.7,5.75,0.18,0.03,-0.82,3.1,16.2,4.19
Lithuania,Maritime transport,Services for transport,Other transportation support activities,334,313,-0.06,53.5,74.3,0.39,5.1,7.4,0.47,0.09,0.1,0.06,1.7,3.3,0.89,0.03,0.04,0.36,10,13.3,0.33
Lithuania,Coastal tourism,Accommodation,Accommodation,2246,2701,0.2,41.4,77.6,0.87,17.5,41,1.34,0.42,0.53,0.25,4.6,19.5,3.21,0.11,0.25,1.25,5.7,7.9,0.39
Lithuania,Coastal tourism,Transport,Transport,1409,837,-0.41,100.9,82.7,-0.18,12.1,14,0.16,0.12,0.17,0.41,2.1,6.6,2.22,0.02,0.08,2.94,7.1,8.8,0.24
Lithuania,Coastal tourism,Other expenditure,Other expenditure,2509,2373,-0.05,66.6,90.3,0.36,11.4,22.5,0.98,0.17,0.25,0.46,0.5,5.6,13.36,-0.01,0.06,10.11,4.7,7.1,0.51
Poland,Marine living resources,Primary production,Capture fisheries (SSCF),1313,1442,0.1,10.8,10.4,-0.04,7.6,6.1,-0.19,0.7,0.59,-0.15,5.1,2.5,-1.49,0.47,-0.24,-1.51,1.9,6,2.16
Poland,Marine living resources,Primary production,Capture fisheries (LSF),1116,886,-0.21,30.9,38.3,0.24,16.2,18.5,0.14,0.52,0.48,-0.08,8.5,8.5,0,0.27,0.22,-0.19,6.9,11.3,0.64
Poland,Marine living resources,Primary production,Capture fisheries (DWF),270,140,-0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,Marine living resources,Primary production,Marine aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,Marine living resources,Primary production,Freshwater aquaculture,58,7764,132.86,76.7,89.4,0.17,74.7,86.8,0.16,0.98,0.97,0,74,85.9,0.16,0.97,0.96,0,9.2,0.1,-0.99
Poland,Marine living resources,Primary production,Shellfish aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,Marine living resources,Processing of fish products,"Processing and preserving of fish, crustaceans and molluscs",17205,18498,0.08,1421.9,3120.9,1.19,283.9,455.6,0.6,0.2,0.15,-0.27,152.3,220.6,0.45,0.11,0.07,-0.34,7.7,12.7,0.66
Poland,Marine living resources,Processing of fish products,Manufacture of oils and fats,11,6,-0.45,4.9,2.8,-0.42,0.6,0.4,-0.39,0.12,0.12,0.04,0.4,0.2,-0.45,0.09,0.08,-0.08,12.3,16.6,0.35
Poland,Marine living resources,Processing of fish products,Prepared meals and dishes,1472,1314,-0.11,100.5,68.4,-0.32,18.5,19.2,0.04,0.18,0.28,0.53,8.7,8.8,0.01,0.09,0.13,0.48,6.7,7.9,0.19
Poland,Marine living resources,Processing of fish products,Other food products,66,NA,NA,6,0,-1,2,NA,NA,0.33,0.25,-0.23,1.2,NA,NA,0.2,0.13,-0.34,11.5,15.2,0.32
Poland,Marine living resources,Distribution of fish products,"Wholesale of other food, including fish, crustaceans and molluscs",4867,5693,0.17,1174.9,1715.5,0.46,129.6,180.6,0.39,0.11,0.11,-0.05,79.2,99.2,0.25,0.07,0.06,-0.14,10.4,14.3,0.38
Poland,Marine living resources,Distribution of fish products,"Retail sale of fish, crustaceans and molluscs In specialised stores",1990,1824,-0.08,209.5,113,-0.46,22.9,16.5,-0.28,0.11,0.15,0.34,18.6,10.4,-0.44,0.09,0.09,0.04,2.2,3.3,0.52
Poland,Marine non-living resources,Oil and gas,Extraction of crude petroleum,62,35,-0.44,15.7,8.9,-0.43,4.3,2.5,-0.43,0.27,0.27,0,2.2,1.3,-0.43,0.14,0.14,0,33.6,33.6,0
Poland,Marine non-living resources,Oil and gas,Extraction of natural gas,NA,1,NA,0,0.2,16,NA,0,NA,0.21,-0.04,-1.21,NA,0.1,NA,0.16,-0.68,-5.29,2.9,137.2,46.96
Poland,Marine non-living resources,Oil and gas,Support activities for petroleum and natural gas extraction,362,155,-0.57,28,11.4,-0.59,14.2,5.6,-0.61,0.51,0.49,-0.03,6.9,1.9,-0.72,0.25,0.17,-0.31,20.3,23.7,0.17
Poland,Marine non-living resources,Other minerals,Operation of gravel and sand pits; mining of clays and kaolin,NA,17,NA,NA,1.3,NA,NA,0.5,NA,NA,0.37,NA,NA,0.3,NA,NA,0.23,NA,NA,11.6,NA
Poland,Marine non-living resources,Other minerals,Extraction of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,Marine non-living resources,Other minerals,Support activities for other mining and quarrying,NA,2,NA,NA,0.1,NA,NA,0.1,NA,NA,2.8,NA,NA,0.1,NA,NA,2.17,NA,NA,15.6,NA
Poland,Marine renewable energy,Offshore wind energy,Production of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,Marine renewable energy,Offshore wind energy,Transmission of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,Port activites,Cargo and warehousing,Cargo handling,7804,5677,-0.27,418.3,419.1,0,161.2,190.5,0.18,0.39,0.45,0.18,78.1,106.3,0.36,0.19,0.25,0.36,10.7,14.9,0.39
Poland,Port activites,Cargo and warehousing,Warehousing and storage,8258,17702,1.14,385.1,1974.1,4.13,116.7,389.2,2.33,0.3,0.2,-0.35,47.1,151.4,2.22,0.12,0.08,-0.37,8.4,13.4,0.59
Poland,Port activites,Port and water projects,Construction of water projects,9511,6106,-0.36,893.5,391,-0.56,206,102.2,-0.5,0.23,0.26,0.13,99.3,33,-0.67,0.11,0.08,-0.24,11.2,11.3,0.01
Poland,Port activites,Port and water projects,Service activities incidental to water transportation,2418,1805,-0.25,209.2,211.4,0.01,79.3,71.8,-0.09,0.38,0.34,-0.1,41,43.8,0.07,0.2,0.21,0.06,15.9,15.5,-0.02
Poland,Shipbuilding and repair,Shipbuilding,Building of ships and floating structures,14268,4925,-0.65,1225.4,631.4,-0.48,438,121.7,-0.72,0.36,0.19,-0.46,227.7,36.6,-0.84,0.19,0.06,-0.69,14.7,17.3,0.17
Poland,Shipbuilding and repair,Shipbuilding,Building of pleasure and sporting boats,3957,6567,0.66,163.7,451.2,1.76,56.6,132.6,1.34,0.35,0.29,-0.15,26.4,48.9,0.85,0.16,0.11,-0.33,7.6,12.8,0.67
Poland,Shipbuilding and repair,Shipbuilding,Repair and maintenance of ships and boats,9717,10483,0.08,396.1,794.7,1.01,179.2,313.4,0.75,0.45,0.39,-0.13,86.6,157.1,0.81,0.22,0.2,-0.1,9.5,14.9,0.56
Poland,Shipbuilding and repair,Equipment and machinery,"Manufacture of engines and turbines, except aircraft",885,NA,NA,120.5,NA,NA,32.5,NA,NA,0.27,NA,NA,20.2,NA,NA,0.17,NA,NA,13.8,NA,NA
Poland,Shipbuilding and repair,Equipment and machinery,"Manufacture of instruments for measuring, testing and navigation",37,98,1.65,1.7,8.7,4.21,0.7,2.6,2.72,0.43,0.3,-0.29,0.3,1,2.06,0.2,0.12,-0.41,10.1,16.3,0.62
Poland,Shipbuilding and repair,Equipment and machinery,Manufacture of other fabricated metal products n.e.c.,101,1,-0.99,4.5,0,-0.99,1.5,0,-0.99,0.34,0.31,-0.07,0.8,0,-0.99,0.17,0.15,-0.13,7.2,12.4,0.73
Poland,Shipbuilding and repair,Equipment and machinery,Manufacture of sport goods,321,192,-0.4,9.3,9.5,0.02,3.8,2.6,-0.32,0.41,0.27,-0.33,2,1.1,-0.46,0.22,0.12,-0.47,5.5,7.8,0.43
Poland,Shipbuilding and repair,Equipment and machinery,"Manufacture of cordage, rope, twine and netting",45,NA,NA,2.1,NA,NA,0.7,NA,NA,0.34,NA,NA,0.4,NA,NA,0.19,NA,NA,7.2,NA,NA
Poland,Shipbuilding and repair,Equipment and machinery,Manufacture of textiles other than apparel,43,1521,34.37,1.5,80.8,53.57,0.5,19.8,42.98,0.31,0.25,-0.2,0.2,6.8,29.68,0.15,0.08,-0.42,5.5,8.6,0.55
Poland,Maritime transport,Passenger transport,Sea and coastal passenger water transport,374,538,0.44,42.2,86.3,1.05,14.4,12.7,-0.12,0.34,0.15,-0.57,11.3,5.4,-0.52,0.27,0.06,-0.77,8.3,13.6,0.63
Poland,Maritime transport,Passenger transport,Inland passenger water transport,699,479,-0.31,84.6,13,-0.85,27,6.9,-0.74,0.32,0.53,0.66,22,3.5,-0.84,0.26,0.27,0.04,7.2,7.1,-0.01
Poland,Maritime transport,Freight transport,Sea and coastal freight water transport,1858,1427,-0.23,288.6,322.9,0.12,87.8,119.7,0.36,0.3,0.37,0.22,49.2,85.3,0.74,0.17,0.26,0.55,20.8,24.1,0.16
Poland,Maritime transport,Freight transport,inland freight water transport,723,734,0.02,105.7,77.6,-0.27,32.3,15.3,-0.53,0.31,0.2,-0.35,26.1,7.5,-0.71,0.25,0.1,-0.61,8.6,10.6,0.24
Poland,Maritime transport,Services for transport,Renting and leasing of water transport equipment,125,283,1.26,20.4,9.1,-0.55,10.4,1.9,-0.82,0.51,0.21,-0.59,9.4,0.3,-0.97,0.46,0.03,-0.93,8,6,-0.25
Poland,Maritime transport,Services for transport,Other transportation support activities,685,437,-0.36,71.5,79.6,0.11,14.4,11,-0.23,0.2,0.14,-0.31,7.4,5,-0.32,0.1,0.06,-0.39,10.2,13.7,0.34
Poland,Coastal tourism,Accommodation,Accommodation,11741,23314,0.99,297.9,999.1,2.35,130.5,437.6,2.35,0.44,0.44,0,64.6,237.3,2.67,0.22,0.24,0.1,5.6,8.6,0.53
Poland,Coastal tourism,Transport,Transport,6619,12879,0.95,362.1,1090.8,2.01,85.1,250.2,1.94,0.24,0.23,-0.02,33.6,123,2.66,0.09,0.11,0.21,7.8,9.9,0.27
Poland,Coastal tourism,Other expenditure,Other expenditure,9623,22658,1.35,424.7,1394,2.28,81,276.2,2.41,0.19,0.2,0.04,40.9,126.7,2.1,0.1,0.09,-0.06,4.2,6.6,0.59
Sweden,Marine living resources,Primary production,Capture fisheries (SSCF),995,809,-0.19,16.3,13.3,-0.18,8.7,6.6,-0.24,0.54,0.5,-0.07,0.2,2.2,-12.63,0.01,-0.17,-15.41,8.6,10.9,0.27
Sweden,Marine living resources,Primary production,Capture fisheries (LSF),868,602,-0.31,103,105.3,0.02,60.7,47.6,-0.22,0.59,0.45,-0.23,46.9,29.3,-0.38,0.46,0.28,-0.39,15.8,30.3,0.92
Sweden,Marine living resources,Primary production,Capture fisheries (DWF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine living resources,Primary production,Marine aquaculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine living resources,Primary production,Freshwater aquaculture,339,369,0.09,29.8,57.1,0.91,8.2,28.3,2.47,0.27,0.5,0.81,2.1,17.4,7.49,0.07,0.3,3.44,14.3,22.9,0.6
Sweden,Marine living resources,Primary production,Shellfish aquaculture,85,68,-0.2,1.2,2,0.66,0.6,1.9,2.38,0.47,0.95,NA,0.6,1,2.7,-0.48,0.49,2.03,6.8,8.1,0.2
Sweden,Marine living resources,Processing of fish products,"Processing and preserving of fish, crustaceans and molluscs",2042,2007,-0.02,467.3,590.3,0.26,99,90.2,-0.09,0.21,0.15,-0.28,32.6,16.7,-0.49,0.07,0.03,-0.59,32.5,37.4,0.15
Sweden,Marine living resources,Processing of fish products,Manufacture of oils and fats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine living resources,Processing of fish products,Prepared meals and dishes,97,329,2.39,15.4,77.8,4.04,4.5,23.4,4.15,0.29,0.3,0.02,1.5,8.4,4.49,0.1,0.11,0.09,31.1,48.3,0.55
Sweden,Marine living resources,Processing of fish products,Other food products,1,NA,NA,0.1,NA,NA,0,NA,NA,0.21,NA,NA,NA,NA,NA,0.04,NA,NA,32.1,NA,NA
Sweden,Marine living resources,Distribution of fish products,"Wholesale of other food, including fish, crustaceans and molluscs",2260,2541,0.12,884.5,1276.4,0.44,108.2,168,0.55,0.12,0.13,0.08,39.5,61.7,0.56,0.04,0.05,0.08,30.4,42.2,0.39
Sweden,Marine living resources,Distribution of fish products,"Retail sale of fish, crustaceans and molluscs In specialised stores",1242,1468,0.18,139,190,0.37,32.3,51.7,0.6,0.23,0.27,0.17,10,12.9,0.29,0.07,0.07,-0.06,18,26.5,0.48
Sweden,Marine non-living resources,Oil and gas,Extraction of crude petroleum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine non-living resources,Oil and gas,Extraction of natural gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine non-living resources,Oil and gas,Support activities for petroleum and natural gas extraction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine non-living resources,Other minerals,Operation of gravel and sand pits; mining of clays and kaolin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine non-living resources,Other minerals,Extraction of salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine non-living resources,Other minerals,Support activities for other mining and quarrying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine renewable energy,Offshore wind energy,Production of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Marine renewable energy,Offshore wind energy,Transmission of electricity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Port activites,Cargo and warehousing,Cargo handling,834,829,-0.01,81.5,122.2,0.5,49.1,62.5,0.27,0.6,0.51,-0.15,13.4,22.6,0.68,0.17,0.19,0.12,42.7,52.5,0.23
Sweden,Port activites,Cargo and warehousing,Warehousing and storage,218,318,0.46,33.3,52,0.56,12.2,21.9,0.8,0.37,0.42,0.15,4.8,8.8,0.84,0.14,0.17,0.18,33.9,42.1,0.24
Sweden,Port activites,Port and water projects,Construction of water projects,521,452,-0.13,82.2,83.9,0.02,24,25,0.04,0.29,0.3,0.02,5.9,5.2,-0.12,0.07,0.06,-0.14,34.7,46.9,0.35
Sweden,Port activites,Port and water projects,Service activities incidental to water transportation,2440,2263,-0.07,313.8,398.7,0.27,155.6,222.8,0.43,0.5,0.56,0.13,31.7,59.1,0.86,0.1,0.15,0.47,50.8,77.5,0.53
Sweden,Shipbuilding and repair,Shipbuilding,Building of ships and floating structures,1646,1563,-0.05,220.7,369.2,0.67,56,119.1,1.13,0.25,0.32,0.27,29.2,23.1,1.79,-0.13,0.06,1.47,51.8,62.9,0.22
Sweden,Shipbuilding and repair,Shipbuilding,Building of pleasure and sporting boats,2135,1302,-0.39,261.9,216.1,-0.17,69.5,58.9,-0.15,0.27,0.27,0.03,1.2,10.5,7.75,0,0.05,9.6,32,39.5,0.23
Sweden,Shipbuilding and repair,Shipbuilding,Repair and maintenance of ships and boats,1871,2107,0.13,288.7,339.6,0.18,82.7,112.2,0.36,0.29,0.33,0.15,21.6,39.2,0.81,0.07,0.12,0.54,32.7,38.9,0.19
Sweden,Shipbuilding and repair,Equipment and machinery,"Manufacture of engines and turbines, except aircraft",724,647,-0.11,207.9,271,0.3,47.3,78,0.65,0.23,0.29,0.26,11.2,36.5,2.25,0.05,0.13,1.49,49.9,77.5,0.56
Sweden,Shipbuilding and repair,Equipment and machinery,"Manufacture of instruments for measuring, testing and navigation",103,119,0.16,19.1,29.2,0.53,7.3,12.7,0.73,0.38,0.43,0.13,1.8,4.8,1.68,0.09,0.17,0.75,53.5,66.3,0.24
Sweden,Shipbuilding and repair,Equipment and machinery,Manufacture of other fabricated metal products n.e.c.,483,682,0.41,63.5,118.7,0.87,20.7,41.5,1,0.33,0.35,0.07,3.4,9.3,1.69,0.05,0.08,0.44,35.9,48.2,0.34
Sweden,Shipbuilding and repair,Equipment and machinery,Manufacture of sport goods,45,27,-0.4,7.1,5,-0.29,2.2,1.4,-0.39,0.32,0.27,-0.14,0.6,0.4,-0.35,0.09,0.08,-0.08,35.1,38.8,0.1
Sweden,Shipbuilding and repair,Equipment and machinery,"Manufacture of cordage, rope, twine and netting",NA,28,NA,0.1,5.1,101.6,0,1.6,79,0.4,0.31,-0.22,0,0.4,36,0.12,0.07,-0.41,51.3,44.5,-0.13
Sweden,Shipbuilding and repair,Equipment and machinery,Manufacture of textiles other than apparel,32,750,22.44,3,108.7,34.76,1.1,37.4,33.97,0.35,0.34,-0.02,0.2,10,58,0.05,0.09,0.68,28,38,0.36
Sweden,Maritime transport,Passenger transport,Sea and coastal passenger water transport,9671,8479,-0.12,1186.3,1805.1,0.52,315.6,382.1,0.21,0.27,0.21,-0.2,36.9,157.1,3.26,0.03,0.09,1.8,28.8,45.7,0.59
Sweden,Maritime transport,Passenger transport,Inland passenger water transport,983,1584,0.61,79.5,186.7,1.35,16.4,80.8,3.93,0.21,0.43,1.1,9.8,33.5,4.42,-0.12,0.18,2.46,26.7,34.3,0.29
Sweden,Maritime transport,Freight transport,Sea and coastal freight water transport,6719,3451,-0.49,2331.9,1599.3,-0.31,216,291.4,0.35,0.09,0.18,0.97,101.5,109,2.07,-0.04,0.07,2.57,47.3,66.6,0.41
Sweden,Maritime transport,Freight transport,inland freight water transport,161,112,-0.3,12,16.4,0.37,4,6.6,0.65,0.33,0.4,0.21,0.4,2.9,6.25,0.03,0.18,4.3,22.4,35.7,0.6
Sweden,Maritime transport,Services for transport,Renting and leasing of water transport equipment,60,117,0.95,81.1,58.1,-0.28,70.2,47.2,-0.33,0.87,0.81,-0.06,68.6,43.2,-0.37,0.85,0.74,-0.12,26.7,32.5,0.22
Sweden,Maritime transport,Services for transport,Other transportation support activities,4014,3417,-0.15,1445.3,1615.1,0.12,203.1,211.5,0.04,0.14,0.13,-0.07,35.4,41.3,0.17,0.02,0.03,0.04,41.8,50.6,0.21
Sweden,Coastal tourism,Accommodation,Accommodation,32739,31626,-0.03,2450.2,2894,0.18,1014.6,1255.4,0.24,0.41,0.43,0.05,214,289.2,0.35,0.09,0.1,0.14,24.5,31.4,0.28
Sweden,Coastal tourism,Transport,Transport,16384,15525,-0.05,2473.5,2860.8,0.16,611,829.4,0.36,0.25,0.29,0.17,118.1,258.5,1.19,0.05,0.09,0.89,30.1,38.7,0.29
Sweden,Coastal tourism,Other expenditure,Other expenditure,33129,34040,0.03,3274.4,3887.7,0.19,917.1,1194.8,0.3,0.28,0.31,0.1,200.1,274.9,0.37,0.06,0.07,0.16,21.6,28.5,0.32
